,Year,mean rainfall,Crop,Value(hg/ha)
203,2006,38.03,Apples,150626.0
204,2006,38.03,Barley,21521.0
205,2006,38.03,Maize,53856.0
206,2006,38.03,Oats,18145.0
207,2006,38.03,Sorghum,25205.0
208,2006,38.03,Wheat,20213.0
209,2007,41.0,"Almonds, with shell",62393.0
210,2007,41.0,Apples,188990.0
211,2007,41.0,Barley,10179.0
212,2007,41.0,Maize,49103.0
213,2007,41.0,Oats,7463.0
214,2007,41.0,Sorghum,20918.0
215,2007,41.0,Wheat,9173.0
216,2008,37.98,"Almonds, with shell",47782.0
217,2008,37.98,Apples,161475.0
218,2008,37.98,Barley,14607.0
219,2008,37.98,Maize,56912.0
220,2008,37.98,Oats,12137.0
221,2008,37.98,Sorghum,40252.0
222,2008,37.98,Wheat,10788.0
223,2009,36.56,"Almonds, with shell",46035.0
224,2009,36.56,Apples,134152.0
225,2009,36.56,Barley,15945.0
226,2009,36.56,Maize,58171.0
227,2009,36.56,Oats,13329.0
228,2009,36.56,Sorghum,35096.0
229,2009,36.56,Wheat,15831.0
230,2010,53.48,"Almonds, with shell",36181.0
231,2010,53.48,Apples,157457.0
232,2010,53.48,Barley,17787.0
233,2010,53.48,Maize,55593.0
234,2010,53.48,Oats,13665.0
235,2010,53.48,Sorghum,30279.0
236,2010,53.48,Wheat,15729.0
237,2011,55.14,"Almonds, with shell",32300.0
238,2011,55.14,Apples,159541.0
239,2011,55.14,Barley,21719.0
240,2011,55.14,Maize,57390.0
241,2011,55.14,Oats,13652.0
242,2011,55.14,Sorghum,30558.0
243,2011,55.14,Wheat,20301.0
244,2012,38.22,"Almonds, with shell",41907.0
245,2012,38.22,Apples,160093.0
246,2012,38.22,Barley,22109.0
247,2012,38.22,Maize,64654.0
248,2012,38.22,Oats,17261.0
249,2012,38.22,Sorghum,33960.0
250,2012,38.22,Wheat,21511.0
251,2013,34.84,"Almonds, with shell",56531.0
252,2013,34.84,Apples,160354.0
253,2013,34.84,Barley,20502.0
254,2013,34.84,Maize,64441.0
255,2013,34.84,Oats,15388.0
256,2013,34.84,Sorghum,34419.0
257,2013,34.84,Wheat,17609.0
258,2014,37.65,"Almonds, with shell",54337.0
259,2014,37.65,Apples,159705.0
260,2014,37.65,Barley,24054.0
261,2014,37.65,Maize,74554.0
262,2014,37.65,Oats,17555.0
263,2014,37.65,Sorghum,24099.0
264,2014,37.65,Wheat,20061.0
265,2015,35.14,"Almonds, with shell",55090.0
266,2015,35.14,Apples,159496.0
267,2015,35.14,Barley,21202.0
268,2015,35.14,Maize,83001.0
269,2015,35.14,Oats,14021.0
270,2015,35.14,Sorghum,30160.0
271,2015,35.14,Wheat,19172.0
272,2016,44.84,"Almonds, with shell",61170.0
273,2016,44.84,Apples,159616.0
274,2016,44.84,Barley,21892.0
275,2016,44.84,Maize,75080.0
276,2016,44.84,Oats,15821.0
277,2016,44.84,Sorghum,34399.0
278,2016,44.84,Wheat,19743.0
279,2017,38.71,"Almonds, with shell",63513.0
280,2017,38.71,Apples,159448.0
281,2017,38.71,Barley,27939.0
282,2017,38.71,Maize,64363.0
283,2017,38.71,Oats,22041.0
284,2017,38.71,Sorghum,27017.0
285,2017,38.71,Wheat,26100.0
286,2018,32.54,"Almonds, with shell",55164.0
287,2018,32.54,Apples,159271.0
288,2018,32.54,Barley,22438.0
289,2018,32.54,Maize,73365.0
290,2018,32.54,Oats,14046.0
291,2018,32.54,Sorghum,27201.0
292,2018,32.54,Wheat,19178.0
293,2019,22.51,"Almonds, with shell",55932.0
294,2019,22.51,Apples,159288.0
295,2019,22.51,Barley,19878.0
296,2019,22.51,Maize,55507.0
297,2019,22.51,Oats,12094.0
298,2019,22.51,Sorghum,21089.0
299,2019,22.51,Wheat,16917.0
300,2020,38.26,"Almonds, with shell",56458.0
301,2020,38.26,Apples,159306.0
302,2020,38.26,Barley,20090.0
303,2020,38.26,Maize,70912.0
304,2020,38.26,Oats,14007.0
305,2020,38.26,Sorghum,19474.0
306,2020,38.26,Wheat,14681.0
307,2021,41.08,,
