Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","828000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","699511","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","767113","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","731465.14","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","730643.18","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","889972.7","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","761294","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","628086.66","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","601973.32","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","688933.55","Fk","Calculated data on the basis of official figures"
